33|Gustaff|Gustaf.png|Uruguay|El Humor Salvara el Mundo. Gustaff en Todo Pasa|Oceano|1|https://www.oceano.uy/api/podcast.php||None|/Podcasts/Oceano/Gustaf|Oceano|0|False
34|Oceano|Oceano.png|Uruguay|Oceano|Oceano|5|https://www.oceano.uy/api/podcast.php||https://www.oceano.uy|/Podcasts/Oceano/Oceano|Oceano|0|False
35|13a0|13a0.jpg|Uruguay||Del Sol|5|http://feeds.the2rods.com/feed/13a0|http://feeds.the2rods.com/feed/13a0|https://delsol.uy/13a0|/Podcasts/DelSol/13a0|Del Sol|0|False
36|Ernesto|Ernesto.png|Uruguay|Ernesto el Robot|Oceano|4|https://www.oceano.uy/api/podcast.php|http://feeds.the2rods.com/feed/ernesto|https://www.oceano.uy/dearribaunrayo/77-ernesto|/Podcasts/Oceano/Ernesto|Oceano|0|False
37|Oceano Sports Radio|OSR.jpg|Uruguay||Oceano|4|https://www.oceano.uy/api/podcast.php|http://feeds.the2rods.com/feed/osr|https://www.oceano.uy/justiciainfinita/94-oceano-sports-radio|/Podcasts/Oceano/OSR|Oceano|0|False
38|Abrepalabra|abrepalabra.jpg|Uruguay||Oceano|5|https://www.oceano.uy/api/podcast.php|http://feeds.the2rods.com/feed/abrepalabra|https://www.oceano.uy/abrepalabra|/Podcasts/Oceano/Abrepalabra||0|False
39|Cerca de la Revolución|Cerca.jpg|Argentina||Music|2|https://feeds.podcastmirror.com/cerca-de-la-revolucion||None|/Podcasts/Music/Cerca||0|False
40|Otro Elefante|otroelefante.jpg|Uruguay|Otro Elefante en El Espectador|Espectador|5|http://feeds.the2rods.com/feed/otroelefante|http://feeds.the2rods.com/feed/otroelefante|https://espectador.com/otroelefante|/Podcasts/Espectador/OtroElefante|Espectador|0|False
41|Bien Igual|bienigual.png|Uruguay||Espectador|5|http://feeds.the2rods.com/feed/bienigual|http://feeds.the2rods.com/feed/bienigual|https://espectador.com/bienigual|/Podcasts/Espectador/BienIgual|Espectador|0|False
42|El Primer Palo|primerpalo.png|Spain||Sports|2|https://esradio.libertaddigital.com/el-primer-palo/podcast.xml||None|/Podcasts/Deportes/PrimerPalo|Espectador|0|False
43|Sergio Pena|sergiopena.jpg|Uruguay||Espectador|4|http://feeds.the2rods.com/feed/sergiopena|http://feeds.the2rods.com/feed/sergiopena|https://espectador.com/otroelefante/sergiopena|/Podcasts/Espectador/SergioPena||0|False
44|Dobrich|dobrich.jpg|Uruguay|Columna de Miguel Angel Dobrich en Otro Elefante|Espectador|4|http://feeds.the2rods.com/feed/dobrich|http://feeds.the2rods.com/feed/dobrich|https://espectador.com/otroelefante/dobrich|/Podcasts/Espectador/Dobrich||0|False
45|Master|master.jpg|Uruguay|Master Feed for all files|Master|5|http://feeds.the2rods.com/feed/master|http://feeds.the2rods.com/feed/master|None|/Podcasts/Master||0|False
46|Radio Ambulante|RadioAmbulante.png|USA|Radio Ambulante|Periodismo|1|http://feeds-origin.podtrac.com/SWY1x6vXZVFJ||None|/Podcasts/Varios/RadioAmbulante|NPR|0|False
47|Tasa de Embarque|TasaDeEmarque.png|Uruguay||Del Sol|4|http://feeds.the2rods.com/feed/tasadeembarque|http://feeds.the2rods.com/feed/tasadeembarque|https://delsol.uy/quientedice/tasaembarque|/Podcasts/DelSol/TasaDeEmarque|Del Sol|0|False
48|Maxi Guerra|maxiguerra.jpg|Uruguay|Columna de Maxi Guerra en Otro Elefante|Espectador|4|http://feeds.the2rods.com/feed/maxiguerra|http://feeds.the2rods.com/feed/maxiguerra|https://espectador.com/otroelefante/maxiguerra|/Podcasts/Espectador/MaxiGuerra|Espectador|0|False
49|Del Sol|delsol.jpg|Uruguay|FM del Sol|Del Sol|5|https://delsol.uy//feed/lamesa|http://feeds.the2rods.com/feed/delsol|https://delsol.uy|/Podcasts/DelSol/DelSol|Del Sol|0|False
50|Abran Cancha|abrancancha.jpg|Uruguay||Del Sol|1|https://delsol.uy//feed/abran|http://feeds.the2rods.com/feed/abrancancha|https://delsol.uy/abrancancha|/Podcasts/DelSol/AbranCancha||1|False
51|Cesar Sanguinetti|sanguinetti.jpg|Uruguay|Columna de Cesar Sanguinetti en Oceano|Oceano|1|https://www.oceano.uy/api/podcast.php|http://feeds.the2rods.com/feed/sanguinetti|https://www.oceano.uy/todopasa/147-musica|/Podcasts/Oceano/Sanguinetti||1|False
52|Moncho|moncho.jpg|Uruguay||Espectador|3|http://feeds.the2rods.com/feed/moncho|http://feeds.the2rods.com/feed/moncho|https://espectador.com/otroelefante/moncho|/Podcasts/Espectador/Moncho||2|False
53|Ciencia|ciencia.jpg|USA|Compilado de Podcasts de Ciencia|Ciencia|3|http://feeds.the2rods.com/feed/ciencia|http://feeds.the2rods.com/feed/ciencia|http://the2rods.com:8000/podcast/episode/list/53|/Podcasts/Ciencia/Ciencia||2|False
54|Tecnologia|tecnologia.jpg|USA||Tecnologia|3|http://feeds.the2rods.com/feed/tecnologia|http://feeds.the2rods.com/feed/tecnologia||/Podcasts/Tecnologia/Tecnologia||2|False
55|Diego de la Escucha|ddle.jpg|Uruguay||Oceano|1|https://www.oceano.uy/api/podcast.php|http://feeds.the2rods.com/feed/ddle|https://oceano.uy/dearribaunrayo/172-diego-de-la-escucha|/Podcasts/Oceano/DDLE|Oceano|2|False
